ID,Label,Part,Coef,col,abs_coef
Clostridium.sp.CAG.299,Clostridium.sp.CAG.299,Clostridium.sp.CAG.299,-0.1127414052568376,Control,0.1127414052568376
Coprococcus.comes,Coprococcus.comes,Coprococcus.comes,0.013764749926897975,CRC,0.013764749926897975
Eubacterium.sp.CAG.251,Eubacterium.sp.CAG.251,Eubacterium.sp.CAG.251,-0.12144294947340616,Control,0.12144294947340616
Veillonella.infantium,Veillonella.infantium,Veillonella.infantium,-0.021943738886658747,Control,0.021943738886658747
Roseburia.inulinivorans,Roseburia.inulinivorans,Roseburia.inulinivorans,0.02540932572696087,CRC,0.02540932572696087
Roseburia.sp.CAG.471,Roseburia.sp.CAG.471,Roseburia.sp.CAG.471,0.012615835691607399,CRC,0.012615835691607399
Atopobium.parvulum,Atopobium.parvulum,Atopobium.parvulum,0.003836915547381815,CRC,0.003836915547381815
Lachnoclostridium.sp.An138,Lachnoclostridium.sp.An138,Lachnoclostridium.sp.An138,-0.0312373323836352,Control,0.0312373323836352
Actinomyces.sp.S6.Spd3,Actinomyces.sp.S6.Spd3,Actinomyces.sp.S6.Spd3,0.03216386369879441,CRC,0.03216386369879441
Eubacterium.sp.CAG.274,Eubacterium.sp.CAG.274,Eubacterium.sp.CAG.274,-0.007942972326283881,Control,0.007942972326283881
Alistipes.inops,Alistipes.inops,Alistipes.inops,-0.019755907653558585,Control,0.019755907653558585
Firmicutes.bacterium.CAG.170,Firmicutes.bacterium.CAG.170,Firmicutes.bacterium.CAG.170,-0.09801617800193076,Control,0.09801617800193076
Actinomyces.graevenitzii,Actinomyces.graevenitzii,Actinomyces.graevenitzii,0.06328920636727646,CRC,0.06328920636727646
Proteobacteria.bacterium.CAG.139,Proteobacteria.bacterium.CAG.139,Proteobacteria.bacterium.CAG.139,-0.08059481221514493,Control,0.08059481221514493
Veillonella.sp.T11011.6,Veillonella.sp.T11011.6,Veillonella.sp.T11011.6,-0.01400408316072835,Control,0.01400408316072835
Blautia.sp.CAG.257,Blautia.sp.CAG.257,Blautia.sp.CAG.257,-0.13286408641810973,Control,0.13286408641810973
Ruminococcus.callidus,Ruminococcus.callidus,Ruminococcus.callidus,0.049776944741685286,CRC,0.049776944741685286
